race_name,race_category,age_category,runner_name,time,overall_rank,category_rank
Pata Salada,10K,35-39,Paulina DIAZ,01:39:17,29,5
Pata Salada,10K,35-39,Leydie Marell JUAREZ,01:39:21,30,6
Pata Salada,10K,35-39,Belia FERNÁNDEZ REYES,01:49:26,55,7
Pata Salada,10K,35-39,Ramon ORTEGA NUÑEZ,01:50:51,61,8
Pata Salada,10K,35-39,Itzel Alejandra PÉREZ NAVA,01:58:08,65,9
Pata Salada,10K,35-39,Abril AYALA,02:00:49,69,10
Pata Salada,10K,35-39,Vicente SERRANO,02:02:06,72,11
Pata Salada,10K,35-39,Alejandra Maricela GUZMÁN AYÓN,02:08:48,82,12
Pata Salada,10K,35-39,Catalina DIAZ,02:10:29,87,13
Pata Salada,10K,35-39,Ana María LEE ANTON,02:49:31,143,14
Pata Salada,10K,40-44,Israel FLORES,01:11:27,10,1
Pata Salada,10K,40-44,Ruth VILLASENOR,01:24:28,18,2
Pata Salada,10K,40-44,Sharik Mariana RAYA ROJAS,01:32:45,23,3
Pata Salada,10K,40-44,Arianna COTA,01:39:46,32,4
Pata Salada,10K,40-44,Brittany DANIELS,01:40:24,35,5
Pata Salada,10K,40-44,Sergio Andres TOVAR BARRIOS,01:42:44,42,6
Pata Salada,10K,40-44,Carolina SÁNCHEZ RUIZ,01:47:17,51,7
Pata Salada,10K,40-44,Noe ESPINOZA DURAN,01:50:07,58,8
Pata Salada,10K,40-44,Nancy Carolina LÓPEZ GARCIA,01:50:21,59,9
Pata Salada,10K,40-44,Hugo Ivan MARTINEZ RICO,02:01:36,71,10
Pata Salada,10K,40-44,Luis Gerardo GARCÍA BELMARES,02:07:49,79,11
Pata Salada,10K,40-44,Juliana Azucena SANCHEZ HERNANDEZ,02:10:55,90,12
Pata Salada,10K,40-44,Bianca Melissa SALAIZA GARCIA,02:11:32,92,13
Pata Salada,10K,40-44,Lina BOLLELLA,02:16:18,101,14
Pata Salada,10K,40-44,Yenny VARGAS ESPITIA,02:18:09,104,15
Pata Salada,10K,40-44,Karina ROSALES,02:28:03,116,16
Pata Salada,10K,40-44,Elizabeth RAMIREZ AMADOR,02:28:29,118,17
Pata Salada,10K,40-44,Leslie Fabiola PEREZ CERDA,02:28:32,119,18
Pata Salada,10K,40-44,Dafne EUYOQUE,02:29:51,124,19
Pata Salada,10K,40-44,Natalia Elizahbet PALACIOS CORTES,02:42:10,135,20
Pata Salada,10K,40-44,Meghan KEELEY,03:00:08,148,21
Pata Salada,10K,40-44,Michael WHALEN,03:01:17,149,22
Pata Salada,10K,40-44,Sandra PEDRAZA,03:34:27,152,23
Pata Salada,10K,45-49,Abraham PEREZ RAMIREZ,01:08:21,8,1
Pata Salada,10K,45-49,Jose Leonor TREJO CAMPOS,01:22:41,16,2
Pata Salada,10K,45-49,Francisco MARTINEZ,01:40:15,34,3
Pata Salada,10K,45-49,Fredy TALAVERA,01:42:04,41,4
Pata Salada,10K,45-49,Hilda Gabriela BRISEÑO JAMAICA,01:44:42,49,5
Pata Salada,10K,45-49,Alejandro NAVARRO,01:47:55,52,6
Pata Salada,10K,45-49,Olga ORTEGA,01:50:02,57,7
Pata Salada,10K,45-49,Angel Jr HERNANDEZ,02:10:36,88,8
Pata Salada,10K,45-49,Perla GUTIERREZ,02:12:45,95,9
